trap_strength,method,rows,accepted_rate,true_legal_rate,unsafe_rate,missed_true_sfc_rate,geometric_feasible_rate,oracle_sfc_feasible_rate,mean_quality_when_feasible
0.0,geometric_fc,1080,1.0,0.0,1.0,0.5444,1.0,0.5444,0.037976
0.0,oracle_sfc,1080,0.5444,0.5444,0.0,0.0,1.0,0.5444,0.035811
0.0,posthoc_single,1080,0.0,0.0,0.0,0.5444,1.0,0.5444,0.037976
0.0,semantic_only,1080,1.0,0.5444,0.4556,0.0,1.0,0.5444,0.0
0.0,soft_penalty_fc,1080,1.0,0.0,1.0,0.5444,1.0,0.5444,0.037976
0.35,geometric_fc,1080,1.0,0.0,1.0,0.4407,1.0,0.4407,0.038248
0.35,oracle_sfc,1080,0.4407,0.4407,0.0,0.0,1.0,0.4407,0.032955
0.35,posthoc_single,1080,0.0,0.0,0.0,0.4407,1.0,0.4407,0.038248
0.35,semantic_only,1080,1.0,0.4407,0.5593,0.0,1.0,0.4407,0.0
0.35,soft_penalty_fc,1080,1.0,0.0,1.0,0.4407,1.0,0.4407,0.038248
0.7,geometric_fc,1080,1.0,0.0,1.0,0.4046,1.0,0.4046,0.038245
0.7,oracle_sfc,1080,0.4046,0.4046,0.0,0.0,1.0,0.4046,0.031994
0.7,posthoc_single,1080,0.0,0.0,0.0,0.4046,1.0,0.4046,0.038245
0.7,semantic_only,1080,1.0,0.4046,0.5954,0.0,1.0,0.4046,0.0
0.7,soft_penalty_fc,1080,1.0,0.0,1.0,0.4046,1.0,0.4046,0.038245
